Parameter,Value,,,,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),118.65,,,,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),39.65,,,,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),16.79,,,,,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],43446.57265,,,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,56.15608621,,,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,DeltaH - Stage 1 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 3 Pressure to Pipeline Pressure (kJ/scf),LHV (kJ/scf)
Stage2,Vapor,Well-Water.Stage2-Flash,1,bbl/bbl,kg/bbl,0.001307374,4.05E-05,2.29E-06,0.03710575,0.011276052,0.006862446,0.002163737,0.00264762,0.001114869,0.000754579,0.000520909,0.000367191,8.30E-09,23.56640132,22.95,,
Stage2,Vapor,Well-Water.Stage2-Flash,2.503872104,scf/bbl,kg/scf,0.000522141,1.62E-05,9.13E-07,0.014819347,0.004503446,0.002740733,0.000864156,0.00105741,0.000445258,0.000301365,0.000208042,0.000146649,3.32E-09,23.56640132,22.95,,
Stage2,Vapor,Well-Water.Stage2-Flash,2.992878326,mol/bbl,mol/mol,0.009925664,0.000483316,2.24E-05,0.772943564,0.125295247,0.051993768,0.012439122,0.015220921,0.005162958,0.003494453,0.002019606,0.001087219,1.13E-08,23.56640132,22.95,,
,,,,,,,,,,,,,,,,,,,23.56640132,22.95,,
Well,Vapor,Test1-LeakGc,0,scf/bbl,kg/scf,0,0,0,1,0,0,0,0,0,0,0,0,0,23.56640132,22.95,,
Well,Vapor,Test2-LeakGc,0,scf/bbl,kg/scf,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,23.56640132,22.95,,
Well,Vapor,Test3-LeakGc,0,scf/bbl,kg/scf,0.039089521,0.074035467,0.000237766,0.516059718,0.162741257,0.113468532,0.020307289,0.045214558,0.010798974,0.00953515,0.008511769,0,0,,22.95,,
,,,,,,,,,,,,,,,,,,,,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.000310307,6.37E-07,1.04E-06,0.002626737,0.004378574,0.006765475,0.003215953,0.004400618,0.002160978,0.001498672,0.001059724,0.000701384,1.02E-08,23.56640132,22.95,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Tank-Flash,0.560506904,scf/bbl,kg/scf,0.000553618,1.14E-06,1.86E-06,0.004686361,0.007811812,0.01207028,0.00573758,0.00785114,0.0038554,0.002673781,0.001890653,0.001251339,1.82E-08,23.56640132,22.95,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Tank-Flash,0.669973902,mol/bbl,mol/mol,0.010524027,3.40E-05,4.56E-05,0.244429945,0.217340882,0.228982251,0.082589771,0.113013471,0.044705012,0.031003627,0.018353904,0.009277113,6.18E-08,23.56640132,22.95,,
