Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (MC Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.0021097145596849563,0.020833333333333332
0.0,0.125
0.00044503872696702155,0.020833333333333332
3.728526237680184e-06,0.020833333333333332
0.00048359055639451173,0.020833333333333332
9.595681287827726e-06,0.020833333333333332
0.00028533463321363847,0.020833333333333332
1.6004131255186837e-07,0.020833333333333332
1.0114928213107095e-05,0.020833333333333332
7.658021572468802e-07,0.020833333333333332
3.185994349271527e-07,0.020833333333333332
0.00709974434273027,0.020833333333333332
7.907855724542957e-06,0.020833333333333332
3.111642882246603e-05,0.020833333333333332
6.127074503838298e-07,0.020833333333333332
8.840644230397864e-06,0.020833333333333332
1.9936374750352353e-08,0.020833333333333332
2.032102687317865e-08,0.020833333333333332
9.778285797825528e-07,0.020833333333333332
3.091637964284759e-05,0.020833333333333332
1.0041756755754897e-05,0.020833333333333332
3.048299832736629e-07,0.020833333333333332
4.696402238799221e-05,0.020833333333333332
1.045885486264891e-07,0.020833333333333332
5.1364454611768595e-08,0.020833333333333332
0.001754501925203632,0.020833333333333332
0.005302303086552176,0.020833333333333332
5.2465092869604387e-08,0.020833333333333332
0.004830591018955111,0.020833333333333332
1.316151022167727e-08,0.020833333333333332
0.00506687079041279,0.020833333333333332
0.002521599662086857,0.020833333333333332
4.5936609270128476e-08,0.020833333333333332
1.2316625258714746e-08,0.020833333333333332
0.004154286817570904,0.020833333333333332
0.004592009259027057,0.020833333333333332
4.628596954947309e-09,0.020833333333333332
0.01039052422777675,0.020833333333333332
3.0348678845114492e-09,0.020833333333333332
0.006690248627173542,0.020833333333333332
0.0056000959992371846,0.020833333333333332
0.003310526349674493,0.020833333333333332
3.2514877128166244e-08,0.020833333333333332
